 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
134,2,18,880.717,856.466,0,96.16,4.607,25.56,163.034,1202.425,3.32E-18
135,2,19,880.705,862.551,0,98.584,4.61,25.375,156.403,1046.815,0
136,2,20,880.643,868.603,0,98.118,4.578,24.996,152.611,1009.715,1.05E-25
137,2,21,880.942,874.306,0,96.75,4.608,25.415,157.048,1053.118,8.48E-10
138,2,22,881.175,880.3,0,95.679,4.554,24.846,151.987,1009.258,1.87E-14
139,2,23,881.35,886.214,0,97.334,4.594,25.271,155.69,1039.953,5.927
140,2,24,881.66,892.131,0,100.067,4.607,25.36,156.378,1046.546,8.12E-06
141,2,25,882.118,898.135,0,100.242,4.54,24.489,147.42,961.316,2.68E-04
142,2,26,882.62,903.754,0,98.05,4.491,24.049,144.312,941.595,5.64E-06
143,2,27,883.078,909.696,0,95.734,4.517,24.42,148.27,980.714,0
144,2,28,883.708,915.396,0,91.987,4.466,23.89,143.423,936.234,2.08E-15
145,2,29,884.563,921.162,0,91.989,4.471,23.983,144.42,945.158,0
146,2,30,885.005,927.339,0,93.074,4.733,28.94,226.032,2266.139,0
147,2,31,885.318,932.876,0,96.533,4.7,26.95,177.449,1303.966,3.57E-25
148,2,32,885.355,938.397,0,94.393,4.523,24.462,148.074,971.915,1.19E-39
149,2,33,885.171,943.977,0,93.88,4.514,24.452,149.124,992.911,1.44E-20
150,2,34,884.618,949.987,0,98.181,4.575,24.978,152.611,1011.586,0.016
151,2,35,883.867,955.605,0,100.428,4.584,24.891,150.517,984.145,8.10E-15
152,2,36,882.864,961.405,0,97.917,4.582,24.996,152.259,1004.123,0.036
153,2,37,882.188,967.341,0,98.052,4.632,25.65,158.929,1067.205,9.195
154,2,38,881.936,972.826,0,99.579,4.614,25.384,156.774,1062.416,0.186
155,2,39,881.488,978.222,0,98.647,4.567,24.735,149.085,969.902,7.54E-22
156,2,40,880.618,982.656,0,99.093,4.597,25.139,153.448,1014.069,1.37E-20
157,2,41,879.215,987.033,0,104.658,4.664,25.711,157.599,1043.516,0.151
158,2,42,877.964,991.896,0,102.204,4.632,25.462,155.92,1032.255,0.008
159,2,43,877.439,997.076,0,101.142,4.563,24.652,148.196,963.025,1.33E-07
160,2,44,877.578,1002.516,0,101.747,4.585,24.786,148.749,963.308,8.53E-06
161,2,45,877.723,1007.73,0,97.126,4.488,23.931,142.516,920.393,0
162,2,46,878.552,1013.142,0,95.008,4.481,23.963,143.353,930.106,0
163,2,47,879.432,1018.73,0,91.465,4.456,23.792,142.748,933.131,0
164,2,48,880.565,1024.36,0,89.795,4.461,23.902,143.915,942.592,0
165,2,49,881.601,1030.043,0,91.394,4.458,23.791,142.266,923.258,0
166,2,50,882.665,1035.53,0,91.388,4.453,23.767,142.35,926.533,0
167,2,51,883.685,1040.713,0,91.832,4.466,24.225,153.804,1175.161,0
168,2,52,884.566,1046.05,0,89.934,4.403,23.248,138.134,898.892,0
169,2,53,885.307,1051.295,0,90.594,4.378,22.848,133.374,844.603,0
170,2,54,885.788,1056.462,0,91.125,4.437,23.352,136.908,867.67,0
171,2,55,885.864,1062.119,0,92.944,4.459,23.536,138.155,875.698,1.29E-07
172,2,56,886.027,1067.508,0,97.544,4.482,23.892,142.271,918.201,2.98E-13
173,2,57,885.768,1072.917,0,96.493,4.534,24.503,147.953,967.743,4.31E-05
174,2,58,885.697,1078.225,0,96.047,4.54,24.633,149.613,985.321,0.211
175,2,59,885.606,1083.651,0,97.562,4.587,25.129,154.276,1029.342,4.60E-13
176,2,60,885.785,1089.072,0,93.722,4.541,24.869,153.896,1042.167,4.581
177,2,61,886.24,1094.581,0,94.536,4.533,24.625,150.287,998.279,3.49E-08
178,2,62,886.84,1100.355,0,93.572,4.538,24.679,150.715,1001.216,3.01E-28
179,2,63,888.091,1106.23,0,98.831,4.55,24.631,148.931,975.755,3.012
180,2,64,889.083,1111.767,0,97.387,4.547,24.774,152.225,1025.671,7.39E-11
181,2,65,889.864,1116.981,0,95.481,4.528,24.53,148.86,979.701,1.934
182,2,66,890.914,1122.265,0,92.661,4.505,24.351,147.739,973.759,9.02E-06
183,2,67,892.31,1127.392,0,93.055,4.515,24.3,146.268,954.529,0
184,2,68,893.925,1132.281,0,93.822,4.489,24.107,145.014,946.555,0
185,2,69,894.907,1136.852,0,94.556,4.51,24.337,147.3,969.486,2.78E-13
186,2,70,895.569,1141.357,0,97.135,4.501,24.111,144.499,941.555,5.18E-06
187,2,71,895.366,1146.141,0,93,4.443,23.594,141.207,931.32,1.18E-23
188,2,72,895.189,1151.061,0,93.141,4.47,23.852,143.002,940.799,6.81E-18
189,2,73,894.838,1155.985,0,93.4,4.506,24.32,150.811,1091.768,0
190,2,74,894.211,1161.064,0,96.198,4.499,24.016,143.418,937.529,2.23E-06
191,2,75,893.35,1165.688,0,92.925,4.448,23.511,138.816,889.167,3.05E-14
192,2,76,892.755,1170.276,0,93.008,4.562,24.724,149.382,975.789,2.88E-16
193,2,77,892.657,1174.584,0,88.393,4.474,23.881,142.489,921.184,0
194,2,78,892.686,1179.099,0,90.951,4.468,23.758,140.814,901.845,0
195,2,79,892.803,1183.554,0,94.323,4.471,23.725,140.36,898.638,1.86E-11
196,2,80,893.037,1188.204,0,95.207,4.585,25.087,153.798,1029.517,3.11E-09
