 ,Label,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
488,Step2 test1 3.2x0.63x-1.avi:2.32 s,119,1073.105,885.735,1073.105,885.735,14.994,10.105,7.697,0.906,58,1.484,0.674,0.926
489,Step2 test1 3.2x0.63x-1.avi:2.32 s,125,1715.076,1207.476,1715.076,1207.476,16.09,9.891,139.507,0.823,58,1.627,0.615,0.871
490,Step2 test1 3.2x0.63x-1.avi:2.32 s,135,1508.567,1451.611,1508.567,1451.611,15.004,11.456,38.96,0.865,58,1.31,0.763,0.918
491,Step2 test1 3.2x0.63x-1.avi:2.32 s,174,697.466,1495.851,697.466,1495.851,17.692,12.522,41.281,0.885,58,1.413,0.708,0.923
492,Step2 test1 3.2x0.63x-1.avi:2.32 s,178,763.893,1689.921,763.893,1689.921,18.587,12.193,164.839,0.856,58,1.524,0.656,0.925
493,Step2 test1 3.2x0.63x-1.avi:2.32 s,209,752.4,1733.763,752.4,1733.763,20.553,12.947,177.308,0.847,58,1.587,0.63,0.927
494,Step2 test1 3.2x0.63x-1.avi:2.32 s,190,488.237,1775.837,488.237,1775.837,21.534,11.234,27.646,0.557,58,1.917,0.522,0.772
495,Step2 test1 3.2x0.63x-1.avi:2.32 s,119,1140.811,1803.366,1140.811,1803.366,15.706,9.647,125.554,0.895,58,1.628,0.614,0.915
496,Step2 test1 3.2x0.63x-1.avi:2.36 s,144,1149.528,769.514,1149.528,769.514,13.743,13.341,30.453,0.958,59,1.03,0.971,0.938
497,Step2 test1 3.2x0.63x-1.avi:2.36 s,121,1390.888,783.979,1390.888,783.979,15.35,10.036,137.61,0.885,59,1.529,0.654,0.913
498,Step2 test1 3.2x0.63x-1.avi:2.36 s,125,1078.316,885.62,1078.316,885.62,15.733,10.116,8.606,0.864,59,1.555,0.643,0.926
499,Step2 test1 3.2x0.63x-1.avi:2.36 s,123,1710.98,1204.061,1710.98,1204.061,16.225,9.652,134.536,0.832,59,1.681,0.595,0.885
500,Step2 test1 3.2x0.63x-1.avi:2.36 s,133,1504.583,1453.237,1504.583,1453.237,15.643,10.825,21.976,0.83,59,1.445,0.692,0.899
501,Step2 test1 3.2x0.63x-1.avi:2.36 s,175,693.917,1500.62,693.917,1500.62,17.576,12.678,42.41,0.861,59,1.386,0.721,0.919
502,Step2 test1 3.2x0.63x-1.avi:2.36 s,188,762.511,1688.644,762.511,1688.644,19.677,12.165,157.91,0.83,59,1.617,0.618,0.919
503,Step2 test1 3.2x0.63x-1.avi:2.36 s,215,759.305,1734.435,759.305,1734.435,20.695,13.228,177.537,0.863,59,1.565,0.639,0.921
504,Step2 test1 3.2x0.63x-1.avi:2.36 s,178,483.101,1779.764,483.101,1779.764,21.452,10.565,39.409,0.511,59,2.031,0.492,0.743
505,Step2 test1 3.2x0.63x-1.avi:2.36 s,124,1144.113,1807.298,1144.113,1807.298,15.703,10.054,126.171,0.816,59,1.562,0.64,0.895
506,Step2 test1 3.2x0.63x-1.avi:2.40 s,152,1151.539,769.349,1151.539,769.349,14.43,13.412,169.205,0.949,60,1.076,0.929,0.93
507,Step2 test1 3.2x0.63x-1.avi:2.40 s,121,1393.202,785.707,1393.202,785.707,15.593,9.88,142.918,0.85,60,1.578,0.634,0.9
